artist,featured_text,img_url,data_caption,clean_title,LB_web_artist_url,code,path_to_original_image
pedro-neves-marques-haut,"Pedro Neves Marques presented two newly commissioned films at The Lewis’s Building titled Meat is Not Murder (2021) and The Ovary (2021), under the umbrella of what they term Medieval Bodies in collaboration with music producer and artist HAUT. Imbued with an intimate and sensorial relation to images, Meat is Not Murder narrates the dilemma faced by an animal rights advocate and vegan when confronted with the possibility of eating lab-grown meat. While, accompanied by a cover of Lana Del Rey's ""Let Me Love You Like A Woman,"" The Ovary is a raw and haunting approach to the online fan fiction genre Mpreg (a term short for male pregnancy) and its tense, but also visionary, relation with surrogacy, privilege, and homonormativity. Through image, music, and text, the films create an emotional narrative about the gendering of bodies and science, as well as preconceptions about what is deemed natural and unnatural. Mixing autofiction with research, its images echo contemporary issues surrounding queer reproduction and gestation, fears of artificiality in biotech, and the fluidity between human and nonhuman bodies.Commissioned by Liverpool Biennial supported by Calouste Gulbenkian Foundation.Our full exhibition programme is now closed, but visitors can still enjoy art in person at FACT and Bluecoat until August & September. Plan your visit here.",https://www.liverpoolbiennial2021.com/site/assets/files/1363/lb2021_048.jpg,"Pedro Neves Marques with HAUT, Meat is Not Murder, 2021. Installation view at Lewis's Building, Liverpool Biennial 2021. Photography: Stuart Whipps",Meat is Not Murder,www.liverpoolbiennial2021.com/artists/pedro-neves-marques-haut,1363,datasets/liverpool_biennial_2021/original_images/images_part_3/Meat_is_Not_Murder.jpg
teresa-solar,"Teresa Solar presented a newly commissioned outdoor installation, titled Osteoclast (I do not know how I came to be on board this ship, this navel of my ark) (2021). The work was originally installed at Exchange Flags, then later relocated to Derby Square.Composed of five kayaks, each sculptural piece reflects on the shape of a bone in the human anatomy. The sculptures anchor on the history of Liverpool as one of the most active ports in facilitating transatlantic trade in Europe. Solar’s work draws a parallel between bones – as hollowed structures, full of cavities, carriers of tissues, veins and cell communities – and vessels, vehicles of migration, transmitters of bodies and knowledge. In contrast to the enormous ships that were, and still are, built and docked in Merseyside, Solar’s kayaks, turned into a disarticulated skeleton, set the human body at sea level and evoke the sometimes-forgottenfragility of the human body over the sea. At the same time, they also celebrate our capacity for transition and transformation.   Liverpool Biennial is delighted to announce the release of a limited edition by Teresa Solar. This can be purchased, here.Commissioned by Liverpool Biennial and Liverpool BID Company with support from Acción Cultural Española (AC/E) and the Henry Moore Foundation.Our full exhibition programme is now closed, but visitors can still enjoy art in person at FACT and Bluecoat until August & September. Plan your visit here.",https://www.liverpoolbiennial2021.com/site/assets/files/1387/teresa_solar-_osteoclast_i_do_not_know_how_i_came_to_be_on_board_this_ship-_this_navel_of_my_ark_-_2021__installation_view-2.jpg,"Teresa Solar, Osteoclast (I do not know how I came to be on board this ship, this navel of my ark), 2021. Installation view at Derby Square, Liverpool Biennial 2021. Photography: Mark McNulty","Osteoclast (I do not know how I came to be on board this ship, this navel of my ark)",www.liverpoolbiennial2021.com/artists/teresa-solar,1387,"datasets/liverpool_biennial_2021/original_images/images_part_3/Osteoclast_(I_do_not_know_how_I_came_to_be_on_board_this_ship,_this_navel_of_my_ark).jpg"
serafine1369,"SERAFINE1369 presented durational performance I I I (something flat, something cosmic, something endless) (2021) at Bluecoat Gardens on Sunday 20 March, from 2–8pm.A work made in a moment when all that was there was this body, its dreams and nightmares and cycles and needs, sensations and wanting. I went mining. I haunt this work. I is a collection of already historical circumstances, remembered and un-remembered. I is a crowd. I is a trick of the light.A durational performance inducing a state of expansiveness and detachment from the pressure to create - or be formed by - meaning through conventional narrative arcs. Its duration witnesses / tracks the rhythmic cycles, the peaks and troughs of an endocrine system beyond the arc of climax. The work situates a research and obsession with the unit of ‘one minute’ - asking whether we can transform the stuff of time or whether it transforms us. Considering the invention of colonial time and agency, the ways we inhabit its units of fixed endless measurement, even as this Time slips out of relation to the celestial bodies that have long been its anchor and justification.Working with live and recorded text written over the last year from dreams and heartache and reflection - a wasteland of feeling - I I I (something flat, something cosmic, something endless) is a wide and flat landscape as score for performance. A reading, a listening, a movement.The performance took place as part of Liverpool Biennial's Live Weekend.Commissioned by Liverpool Biennial. Images by Katarzyna Perlak.Our full exhibition programme is now closed, but visitors can still enjoy art in person at FACT and Bluecoat until August & September. Plan your visit here.",https://www.liverpoolbiennial2021.com/site/assets/files/1380/serafine1369_bluecoat-2.jpg,"SERAFINE1369, I I I (something flat, something cosmic, something endless), 2021. Performance at Bluecoat Gardens, Liverpool Biennial 2021. Photography: Katarzyna Perlak","I I I (something flat, something cosmic, something endless)",www.liverpoolbiennial2021.com/artists/serafine1369,1380,"datasets/liverpool_biennial_2021/original_images/images_part_3/I_I_I_(something_flat,_something_cosmic,_something_endless).jpg"
reto-pulfer,"Reto Pulfer presented a newly commissioned site-specific work titled hyperbolisch ratlos ortlos inhaltslos (2015–21) at The Lewis’s Building. Consisting of immersive textile installations, the work focuses on the relationship between the body and nature. Inspired by his memories of growing up near Switzerland’s largest landscape garden, and his relocation to the Uckermark region of Germany, the work begins with the process of extracting natural pigments from plants and applying the dye onto hand-sewn fabrics, recycled bedsheets, paper and wood to form environmental sculptures. Reflecting the artist’s state of mind, the resulting textiles and objects emerge as large tent-like structures to create a universe which embodies the transformational possibilities of nature. In his live performances he interacts with the space and the objects within it – articulating the fluidity between the body and nature, which both affect and are affected by the other.Commissioned by Liverpool Biennial with support from Swiss Arts Council Pro Helvetia, Institut für Auslandsbeziehungen, Swiss Cultural Fund UK and Hollybush Gardens, London.Our full exhibition programme is now closed, but visitors can still enjoy art in person at FACT and Bluecoat until August & September. Plan your visit here.",https://www.liverpoolbiennial2021.com/site/assets/files/1369/reto_pulfer-_hyperbolisch_ratlos_ortlos_inhaltslos-_2015-21__installation_view_at_lewiss_building-_liverpool_biennial_202.jpg,"Reto Pulfer, hyperbolisch ratlos ortlos inhaltslos, 2015–21. Installation view at Lewis's Building, Liverpool Biennial 2021. Photography: Rob Battersby",hyperbolisch ratlos ortlos inhaltslos,www.liverpoolbiennial2021.com/artists/reto-pulfer,1369,datasets/liverpool_biennial_2021/original_images/images_part_3/hyperbolisch_ratlos_ortlos_inhaltslos.jpg
daniel-steegmann-mangrane,"Daniel Steegmann Mangrané presented a newly commissioned outdoor installation at Crown Street Park, and a film at Bluecoat. Steegmann Mangrané’s new outdoor installation, La Pensée Férale (2021), brings into question our position in the world – eroding the Western conceptions of being that separate the world into opposing dualisms, for example, nature and culture. The tree trunk at its centre is a scanned replica of a Pau Rei, a native tree of the Brazilian Mata Atlántica, imbedded with the eye of an Indian pariah dog from Bangladesh. Surrounded by a newly planted forest of black beeches, the work raises questions about subjectivity and our attitude towards our environment, reinforcing that nature is not without perception or feeling.Presented in the UK for the first time, Steegmann Mangrané’s film Fog Dog (2020) is the artist’s first foray into cinematic storytelling. Premiered at the Dhaka Art Summit 2020, the film is a documentation of daily life at the Institute of Fine Arts of Dhaka. Through different narratives – of colonial violence, bodily knowledge, environmental degradation and the stray and phantom dogs which live at the Institute – the film highlights how multiple worlds are interconnected.Commissioned by Liverpool Biennial with Art Fund support, and the assistance of Bury Art Museum. Additional support received from Acción Cultural Española (AC/E).Our full exhibition programme is now closed, but visitors can still enjoy art in person at FACT and Bluecoat until August & September. Plan your visit here.",https://www.liverpoolbiennial2021.com/site/assets/files/1389/lb2021_280.jpg,"Daniel Steegmann Mangrané, La Pensée Férale, 2021. Installation view at Crown Street Park, Liverpool Biennial 2021. Photography: Stuart Whipps",La Pensee Ferale,www.liverpoolbiennial2021.com/artists/daniel-steegmann-mangrane,1389,datasets/liverpool_biennial_2021/original_images/images_part_3/La_Pensee_Ferale.jpg
martine-syms,"Martine Syms’ video installation Borrowed Lady (2015) from Tate’s collection was presented at Tate Liverpool. Taking a cue from writer Samuel R. Delany's reflections on how feminine characters are constructed through the compositing of ideal physiological and psychological features, Syms draws from her archives to speculate on the influences on her actor's gestures. Syms’ own practice is also formed of conceptual and critical inheritances. Alongside Delaney, Borrowed Lady is also informed by seventeenth century physician John Bulwer's study of hand gestures and their meaning; philosopher Giorgio Agamben's impressions on cinema's recuperation of the politics of gesture; and scholar Alison Landsberg’s formulation of mass popular medias as ""prosthetic"" memory. Syms highlights how common these gestures are, while also commenting on how they have been appropriated and commercialised in branding and advertising aimed at White audiences.Our full exhibition programme is now closed, but visitors can still enjoy art in person at FACT and Bluecoat until August & September. Plan your visit here.",https://www.liverpoolbiennial2021.com/site/assets/files/1394/martine_syms-_borrowed_lady-_2016__installation_view_at_tate_liverpool-_liverpool_biennial_2021__photography-_ben_nuttall_1.jpg,"Martine Syms, Borrowed Lady , 2016. Installation view at Tate Liverpool, Liverpool Biennial 2021. Photography: Ben Nuttall",Borrowed Lady ,www.liverpoolbiennial2021.com/artists/martine-syms,1394,datasets/liverpool_biennial_2021/original_images/images_part_3/Borrowed_Lady_.jpg
alberta-whittle,"Alberta Whittle presented film between a whisper and a cry (2019) at Open Eye Gallery. Hinging on memory, trauma and the afterlives of colonialism, the film combines archival footages, contemporary stories, happenings and events, narrative texts and voices, using sound and oral histories as forms of knowledge. Weather is an important visual and audio element of the film, referencing the legacy of colonial extraction as the starting point for present-day climate instability in the Caribbean, while drawing parallels with the exploitation inherent within the contemporary tourist industry. For Whittle, understanding the past becomes the foundation for moving towards present-day healing and nurturing. Through the film, viewers are encouraged to synchronise their bodies to the rhythm of Whittle’s breathing and the conditions of ocean life, invoking a sense of compassion, kinship, groundedness and understanding within one’s own body.Our full exhibition programme is now closed, but visitors can still enjoy art in person at FACT and Bluecoat until August & September. Plan your visit here.",https://www.liverpoolbiennial2021.com/site/assets/files/1403/alberta_whittle-_between_a_whisper_and_a_cry-_2019__installation_view_at_open_eye_gallery-_liverpool_biennial_2021__photogra-1.jpg,"Alberta Whittle, between a whisper and a cry, 2019. Installation view at Open Eye Gallery, Liverpool Biennial 2021. Photography: Rob Battersby",between a whisper and a cry,www.liverpoolbiennial2021.com/artists/alberta-whittle,1403,datasets/liverpool_biennial_2021/original_images/images_part_3/between_a_whisper_and_a_cry.jpg
anu-poder,"Anu Põder’s set of sculptures titled Tongues (1998) from Tate’s Collection were presented at Tate Liverpool. Showing various stages of decay and corrosion, Põder’s sculptures are realistic representations of the human tongue, cut and exaggerated in size, and cast from soap. Working while Estonia was occupied by the Soviet Union, Põder’s use of everyday materials alludes to the domesticity expected of women, while the violent imagery of a human tongue removed from its mouth evokes notions of silencing, apprehension and fear. The enlarged size of the tongues gives weight to their presence, emphasising the vitalness of freedom of expression.Our full exhibition programme is now closed, but visitors can still enjoy art in person at FACT and Bluecoat until August & September. Plan your visit here.",https://www.liverpoolbiennial2021.com/site/assets/files/1367/anu_po_der-_tongues-_1998__installation_view_at_tate_liverpool-_liverpool_biennial_2021__photography_rob_battersby-1.jpg,"Anu Põder, Tongues, 1998. Installation view at Tate Liverpool, Liverpool Biennial 2021. Photography: Rob Battersby",Tongues,www.liverpoolbiennial2021.com/artists/anu-poder,1367,datasets/liverpool_biennial_2021/original_images/images_part_3/Tongues.jpg
xaviera-simmons,"Xaviera Simmons presented a photographic and moving image installation at Liverpool Cotton Exchange Building. Bringing together existing and new works from her Sundown series (2018-ongoing), Simmons explores the entangled history of the United States, particularly looking at the construction of ‘whiteness’ in relation to the history of the institution of slavery and its legacy. The works assembled draw from a multitude of threads that form the foundations of the contemporary American narrative. This includes colonial America, the Antebellum South, the Jim Crow era of enforced segregation, the Great Migration from rural South to Northern cities, the Civil Rights era, the war on drugs and mass incarceration, as well as the governmentally sanctioned white American terror campaigns that fueled such practices. Interested in how portraiture, language and landscape construct identities, Simmons juxtaposes historical imagery and text against contemporary backdrops of the American landscape. Simmons’ photographic works situate contemporary narratives within the multi-layered and entangled histories of the United States.Co-presented by Liverpool Biennial and Photoworks.Our full exhibition programme is now closed, but visitors can still enjoy art in person at FACT and Bluecoat until August & September. Plan your visit here.",https://www.liverpoolbiennial2021.com/site/assets/files/1382/full_size_cotton_exchange-_liverpool_biennial_2021_c_rob_battersby_17.jpg,"Xaviera Simmons, Sundown (series), 2018 - ongoing. Installation view at Cotton Exchange, Liverpool Biennial 2021. Photography: Rob Battersby",Sundown,www.liverpoolbiennial2021.com/artists/xaviera-simmons,1382,datasets/liverpool_biennial_2021/original_images/images_part_3/Sundown.jpg
ubermorgen-leonardo-impett-joasia-krysa,"The Next Biennial Should be Curated by a Machine B³(TNSCAM) (2021) is an experiment in reimagining the future of curating in the light of Artificial Intelligence, as a self-learning human-machine system. The first iteration of the project is developed as a collaboration between artists UBERMORGEN, digital humanist Leonardo Impett and curator Joasia Krysa, and features a group of technical machine learning processes collectively named B³(TNSCAM) . Using various archive materials and datasets from Liverpool Biennial and The Whitney Museum of American Art, B³(TNSCAM) processes them linguistically and semiotically, to generate new variations of possible instances of endless (combinations of) biennials. is presented online accessible through the websites of Liverpool Biennial and The Whitney Museum of American Art’s online platform artport.ENTER PROJECTUBERMORGEN, Leo Impett and Joasia Krysa, B³(TNSCAM) (2021) is commissioned by Liverpool Biennial and The Whitney Museum of American Art for their online platform artport, with support from Liverpool John Moores University, Swiss Arts Council Pro Helvetia, Federal Ministry for Arts, Culture, the Civil Service and Sport of Austria, and the City of Vienna.Our full exhibition programme is now closed, but visitors can still enjoy art in person at FACT and Bluecoat until August & September. Plan your visit here.",https://www.liverpoolbiennial2021.com/site/assets/files/1396/project_image_2.png,"UBERMORGEN, Leonardo Impett & Joasia Krysa, The Next Biennial Should be Curated by a Machine B³(TNSCAM), 2021",The Next Biennial Should be Curated by a Machine,www.liverpoolbiennial2021.com/artists/ubermorgen-leonardo-impett-joasia-krysa,1396,datasets/liverpool_biennial_2021/original_images/images_part_3/The_Next_Biennial_Should_be_Curated_by_a_Machine.jpg
